episode,timestamp,total_reward,pieces_placed,lines_cleared,avg_reward_100,avg_pieces_100,epsilon,avg_loss_200,curriculum_level
252,2026-04-21 00:16:57,-5.0,17,0,-2.0,12.79,0.39034,1.18712,0
253,2026-04-21 00:16:59,5.0,16,1,-2.0,12.81,0.38723,1.19646,0
254,2026-04-21 00:17:00,-5.0,14,0,-2.0,12.83,0.38453,1.20658,0
255,2026-04-21 00:17:01,-5.0,11,0,-2.2,12.79,0.38242,1.20996,0
256,2026-04-21 00:17:03,15.0,19,2,-2.0,12.86,0.3788,1.21772,0
257,2026-04-21 00:17:04,5.0,17,1,-1.9,12.9,0.37559,1.22032,0
258,2026-04-21 00:17:06,15.0,18,2,-1.8,12.96,0.37223,1.22924,0
259,2026-04-21 00:17:07,-5.0,12,0,-1.8,12.95,0.37,1.23262,0
260,2026-04-21 00:17:08,-5.0,14,0,-1.8,12.96,0.36742,1.232,0
261,2026-04-21 00:17:09,5.0,16,1,-1.7,12.96,0.36449,1.23428,0
262,2026-04-21 00:17:11,5.0,17,1,-1.8,12.95,0.36141,1.24094,0
263,2026-04-21 00:17:12,-5.0,15,0,-1.8,13.01,0.3587,1.24895,0
264,2026-04-21 00:17:13,-5.0,15,0,-1.8,13.04,0.35602,1.2519,0
265,2026-04-21 00:17:14,-5.0,12,0,-1.8,13.07,0.35389,1.25324,0
266,2026-04-21 00:17:16,-5.0,12,0,-1.8,13.08,0.35178,1.25581,0
267,2026-04-21 00:17:17,15.0,17,2,-1.6,13.13,0.3488,1.26155,0
268,2026-04-21 00:17:18,-5.0,13,0,-1.6,13.11,0.34654,1.26268,0
269,2026-04-21 00:17:20,5.0,16,1,-1.6,13.14,0.34378,1.2707,0
270,2026-04-21 00:17:21,5.0,16,1,-1.5,13.18,0.34104,1.27506,0
271,2026-04-21 00:17:22,-5.0,12,0,-1.5,13.13,0.33899,1.27603,0
272,2026-04-21 00:17:24,5.0,19,1,-1.4,13.21,0.33579,1.28133,0
273,2026-04-21 00:17:25,5.0,16,1,-1.3,13.25,0.33311,1.29655,0
274,2026-04-21 00:17:26,5.0,14,1,-1.3,13.23,0.33079,1.30215,0
275,2026-04-21 00:17:27,-5.0,12,0,-1.3,13.26,0.32881,1.30605,0
276,2026-04-21 00:17:29,-5.0,19,0,-1.3,13.33,0.3257,1.31197,0
277,2026-04-21 00:17:30,-5.0,13,0,-1.4,13.33,0.32359,1.314,0
278,2026-04-21 00:17:31,-5.0,12,0,-1.4,13.34,0.32165,1.31516,0
279,2026-04-21 00:17:32,-5.0,13,0,-1.4,13.35,0.31957,1.31604,0
280,2026-04-21 00:17:34,-5.0,15,0,-1.4,13.35,0.31718,1.31526,0
281,2026-04-21 00:17:35,5.0,16,1,-1.3,13.4,0.31465,1.3157,0
282,2026-04-21 00:17:36,5.0,12,1,-1.2,13.45,0.31277,1.31698,0
283,2026-04-21 00:17:38,15.0,18,2,-1.0,13.51,0.30997,1.32042,0
284,2026-04-21 00:17:39,-5.0,16,0,-1.2,13.53,0.3075,1.32696,0
285,2026-04-21 00:17:41,15.0,18,2,-1.0,13.59,0.30474,1.32926,0
286,2026-04-21 00:17:42,-5.0,16,0,-1.0,13.6,0.30231,1.32982,0
287,2026-04-21 00:17:43,5.0,12,1,-0.9,13.58,0.30035,1.32756,0
288,2026-04-21 00:17:45,5.0,18,1,-0.8,13.67,0.29766,1.33622,0
289,2026-04-21 00:17:46,-5.0,16,0,-1.2,13.69,0.29529,1.3324,0
