iteration,loss,epsilon,eval_reward,timestamp
160000,34.015892,0.0500,-56.0500,2026-03-03T08:39:38.468988
161000,32.243270,0.0500,-75.1680,2026-03-03T08:45:45.813555
162000,27.888507,0.0500,-100.3380,2026-03-03T08:46:32.185153
163000,26.143502,0.0500,-111.2260,2026-03-03T08:47:17.367908
164000,29.845429,0.0500,-94.2160,2026-03-03T08:48:03.654773
165000,35.130431,0.0500,-71.4500,2026-03-03T08:48:47.657607
166000,29.607511,0.0500,-139.9940,2026-03-03T08:49:33.257666
167000,33.492691,0.0500,-79.7720,2026-03-03T08:50:17.726461
168000,31.780154,0.0500,-51.6620,2026-03-03T08:51:02.489818
169000,27.383673,0.0500,-80.1900,2026-03-03T08:51:48.398170
170000,31.161123,0.0500,-86.4280,2026-03-03T08:52:32.750302
171000,35.562493,0.0500,-66.8040,2026-03-03T08:53:18.336683
172000,37.753360,0.0500,-167.0460,2026-03-03T08:54:04.907080
173000,39.193321,0.0500,-77.8220,2026-03-03T08:54:55.770414
174000,36.206248,0.0500,-79.6080,2026-03-03T08:55:46.061788
175000,36.183524,0.0500,-58.1560,2026-03-03T08:56:31.505496
176000,33.528159,0.0500,-75.5740,2026-03-03T08:57:16.406091
177000,36.546042,0.0500,-85.9760,2026-03-03T08:58:00.758783
178000,39.199852,0.0500,-70.1040,2026-03-03T08:58:47.228073
179000,36.924748,0.0500,-71.6620,2026-03-03T08:59:31.741079
180000,34.901387,0.0500,-68.1060,2026-03-03T09:00:18.044763
181000,31.564608,0.0500,-84.1420,2026-03-03T09:01:03.333723
182000,33.567317,0.0500,-71.6320,2026-03-03T09:01:49.669281
183000,33.296927,0.0500,-91.8300,2026-03-03T09:02:35.368023
184000,33.342578,0.0500,-78.7320,2026-03-03T09:03:20.620924
185000,35.289970,0.0500,-63.9900,2026-03-03T09:04:05.854991
186000,34.657078,0.0500,-95.7340,2026-03-03T09:04:53.252244
187000,31.407213,0.0500,-64.5900,2026-03-03T09:05:38.115458
188000,27.194696,0.0500,-90.6900,2026-03-03T09:06:22.490545
189000,29.450524,0.0500,-91.3560,2026-03-03T09:07:08.100053
190000,32.373375,0.0500,-75.1180,2026-03-03T09:07:53.292755
191000,33.350418,0.0500,-74.2820,2026-03-03T09:08:38.005496
192000,34.412263,0.0500,-49.6780,2026-03-03T09:09:23.412721
193000,31.915960,0.0500,-59.0220,2026-03-03T09:10:08.431632
194000,31.262028,0.0500,-69.3780,2026-03-03T09:10:54.919798
195000,30.587259,0.0500,-71.5560,2026-03-03T09:11:40.084629
196000,31.893137,0.0500,-71.3160,2026-03-03T09:12:25.722126
197000,28.498503,0.0500,-77.4300,2026-03-03T09:13:11.167877
198000,29.439236,0.0500,-86.6860,2026-03-03T09:13:56.071654
199000,30.909486,0.0500,-69.8100,2026-03-03T09:14:41.890038
200000,30.145490,0.0500,-113.4480,2026-03-03T09:15:25.632106
201000,32.267373,0.0500,-78.7400,2026-03-03T09:16:10.705871
202000,35.564188,0.0500,-73.4980,2026-03-03T09:16:56.428956
203000,37.471669,0.0500,-60.4560,2026-03-03T09:17:41.437183
204000,36.335721,0.0500,-91.4800,2026-03-03T09:18:26.936391
205000,33.958176,0.0500,-49.6320,2026-03-03T09:19:12.048698
206000,31.294546,0.0500,-58.6580,2026-03-03T09:19:57.693674
207000,30.473459,0.0500,-114.0880,2026-03-03T09:20:42.556871
208000,32.575387,0.0500,-52.9560,2026-03-03T09:21:28.148703
209000,31.908994,0.0500,-74.7820,2026-03-03T09:22:12.706445
210000,31.734030,0.0500,-65.3040,2026-03-03T09:22:58.715092
211000,33.650320,0.0500,-90.0600,2026-03-03T09:28:43.834710
212000,30.626508,0.0500,-46.3520,2026-03-03T09:29:28.834389
213000,30.238905,0.0500,-73.9600,2026-03-03T09:30:14.448296
214000,30.766263,0.0500,-65.0520,2026-03-03T09:31:00.878114
215000,27.252636,0.0500,-93.9520,2026-03-03T09:31:46.178700
216000,27.681006,0.0500,-70.7260,2026-03-03T09:32:32.795053
217000,31.847163,0.0500,-64.3180,2026-03-03T09:33:19.336370
218000,32.264890,0.0500,-58.1720,2026-03-03T09:34:04.771566
219000,29.942839,0.0500,-69.5680,2026-03-03T09:34:50.363392
220000,31.037017,0.0500,-91.4920,2026-03-03T09:35:35.963712
221000,31.203475,0.0500,-79.9240,2026-03-03T09:36:22.086712
222000,30.484700,0.0500,-75.5440,2026-03-03T09:37:07.679530
223000,31.222383,0.0500,-59.4900,2026-03-03T09:37:53.627929
224000,32.120509,0.0500,-70.8840,2026-03-03T09:38:39.277251
225000,34.938050,0.0500,-68.9340,2026-03-03T09:39:23.976675
226000,32.265934,0.0500,-88.1240,2026-03-03T09:40:08.791926
227000,32.858547,0.0500,-75.2300,2026-03-03T09:40:53.114814
228000,28.418740,0.0500,-87.5820,2026-03-03T09:41:38.205386
229000,30.351636,0.0500,-56.6340,2026-03-03T09:42:23.296767
230000,28.872105,0.0500,-77.3320,2026-03-03T09:43:09.274194
231000,30.516320,0.0500,-89.0140,2026-03-03T09:43:54.126772
232000,30.786745,0.0500,-61.5520,2026-03-03T09:44:38.280629
233000,30.777956,0.0500,-67.1400,2026-03-03T09:45:22.620916
234000,30.795918,0.0500,-92.8260,2026-03-03T09:46:06.996542
235000,33.762515,0.0500,-91.1200,2026-03-03T09:46:51.524950
236000,34.713112,0.0500,-78.8660,2026-03-03T09:47:36.889079
237000,31.668282,0.0500,-84.8960,2026-03-03T09:48:21.735620
238000,32.459025,0.0500,-104.1360,2026-03-03T09:49:06.807511
239000,33.479117,0.0500,-112.1140,2026-03-03T09:49:50.588677
240000,34.697031,0.0500,-91.1400,2026-03-03T09:50:36.396055
241000,34.819817,0.0500,-109.1320,2026-03-03T09:51:22.552403
242000,35.939363,0.0500,-60.1640,2026-03-03T09:52:07.262848
243000,34.265100,0.0500,-47.4140,2026-03-03T09:52:52.228037
244000,32.663284,0.0500,-52.4240,2026-03-03T09:53:37.380950
245000,31.218021,0.0500,-63.7020,2026-03-03T09:54:21.810638
246000,30.888094,0.0500,-74.1780,2026-03-03T09:55:07.042907
247000,29.371181,0.0500,-89.6180,2026-03-03T09:55:50.916816
248000,26.931717,0.0500,-81.6560,2026-03-03T09:56:35.746449
249000,31.056562,0.0500,-68.1700,2026-03-03T09:57:21.357310
250000,34.014822,0.0500,-48.6100,2026-03-03T09:58:06.223925
251000,31.554073,0.0500,-74.3620,2026-03-03T09:58:52.039142
252000,30.212496,0.0500,-73.5060,2026-03-03T09:59:37.787656
253000,31.047861,0.0500,-68.5100,2026-03-03T10:00:23.016054
254000,30.107544,0.0500,-67.3440,2026-03-03T10:01:08.483868
255000,31.800433,0.0500,-70.3240,2026-03-03T10:01:53.949662
256000,32.372467,0.0500,-80.5180,2026-03-03T10:02:38.510407
257000,32.597646,0.0500,-89.9920,2026-03-03T10:03:24.593375
258000,33.104204,0.0500,-82.3280,2026-03-03T10:04:09.346557
259000,34.014402,0.0500,-70.9680,2026-03-03T10:04:54.534631
260000,35.120959,0.0500,-73.6940,2026-03-03T10:05:40.344810
